,Unnamed: 0,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other,credit_category,text,cluster
3234,3234,ENGR 100,ENGR,100,,Introduction to Engineering,"A seminar providing information about different engineering majors, coping with college life, and exploring educational and career goals.  ENGR 100S ENGR 100S Introduction to Engineering (1) (FYS)Engineering 100 is a First-Year Seminar designed as an introduction to the majors available to students in engineering. There are three main goals:1. To introduce students to the areas of study that the college has to offer - this is to assist students in deciding whether engineering is for them. It also helps students decide which major within engineering is for them. This introduction is accomplished through homework exercises and guest speakers - graduates in industry, graduate students, department heads, faculty, and current undergraduates.2. To introduce students to the university in general - what resources are available and what it means to be a student at a university instead of high school. This is accomplished through guest speakers, lectures by your professor, and homework exercises.3. To provide students with an opportunity to interact with faculty members, academic advisers, and other students.The class meets twice a week. All sections meet together once a week to listen to presentations from people representing each major. On the other class day, sections meet separately with their professor for presentations and activities unique to that instructor.",1,1,First-Year Seminar,Low,"Introduction to Engineering A seminar providing information about different engineering majors, coping with college life, and exploring educational and career goals.  ENGR 100S ENGR 100S Introduction to Engineering (1) (FYS)Engineering 100 is a First-Year Seminar designed as an introduction to the majors available to students in engineering. There are three main goals:1. To introduce students to the areas of study that the college has to offer - this is to assist students in deciding whether engineering is for them. It also helps students decide which major within engineering is for them. This introduction is accomplished through homework exercises and guest speakers - graduates in industry, graduate students, department heads, faculty, and current undergraduates.2. To introduce students to the university in general - what resources are available and what it means to be a student at a university instead of high school. This is accomplished through guest speakers, lectures by your professor, and homework exercises.3. To provide students with an opportunity to interact with faculty members, academic advisers, and other students.The class meets twice a week. All sections meet together once a week to listen to presentations from people representing each major. On the other class day, sections meet separately with their professor for presentations and activities unique to that instructor.",3
3235,3235,ENGR 110,ENGR,110,,Introduction to Engineering for Educators,"This course focuses on physics content, engineering design principles, and elementary science education pedagogy.",3,3,Cross-listed with: SCIED 110,Standard,"Introduction to Engineering for Educators This course focuses on physics content, engineering design principles, and elementary science education pedagogy.",4
3236,3236,ENGR 111,ENGR,111,,Introduction to Cross-Cultural Communication for Engineers,Introduction to theoretical approaches and practical applications of intercultural communications for engineering students.,1,1,International Cultures (IL),Low,Introduction to Cross-Cultural Communication for Engineers Introduction to theoretical approaches and practical applications of intercultural communications for engineering students.,4
3237,3237,ENGR 118,ENGR,118,,Impact of Culture on Engineering in China,"Study of engineering in the context of cultural, historical, societal, political, and environmental considerations to understand the relationship between Chinese culture and engineering projects and policies; brief introduction to the basic engineering principles underlying the engineering projects and their design.  ENGR 118 Impact of Culture on Engineering in China (3) (GS;IL) This summer-session course is delivered in China. Chinese culture, history, society, environment, politics, population, economics, and policies are related to engineering practice, design, manufacturing, processes, engineering education, and transportation. Exposure to Chinese cultural components and how they influence engineering project implementation are presented and demonstrated through site visits and participation in relevant activities. Sites and activities in China are selected to expose students to examples that illustrate the impact of Chinese culture on engineering in an integrated manner. For example, ancient engineering projects, such as the Great Wall, Forbidden City, and Terracotta Warriors, and modern engineering projects, such as the Three Gorges Dam, Hangzhou Bay Bridge, the Shanghai Dongtang Eco-city project, may be selected. In addition to site visits and local cultural and transportation experiences, the course includes guest lectures, documentaries, readings, class discussions, and projects. This course is designed to provide basic understanding of Chinese culture and to relate it to historical and contemporary applications of technology. A program fee is charged for course costs that are not covered by tuition. Students are required to participate in all aspects of the course: scheduled site visits, presentations, lectures, readings, and cultural experiences. An interest in technical applications and not necessarily a technical background is required. However, engineering and technical principles are presented.",3,3,Prerequisite:  ENGR 111,Standard,"Impact of Culture on Engineering in China Study of engineering in the context of cultural, historical, societal, political, and environmental considerations to understand the relationship between Chinese culture and engineering projects and policies; brief introduction to the basic engineering principles underlying the engineering projects and their design.  ENGR 118 Impact of Culture on Engineering in China (3) (GS;IL) This summer-session course is delivered in China. Chinese culture, history, society, environment, politics, population, economics, and policies are related to engineering practice, design, manufacturing, processes, engineering education, and transportation. Exposure to Chinese cultural components and how they influence engineering project implementation are presented and demonstrated through site visits and participation in relevant activities. Sites and activities in China are selected to expose students to examples that illustrate the impact of Chinese culture on engineering in an integrated manner. For example, ancient engineering projects, such as the Great Wall, Forbidden City, and Terracotta Warriors, and modern engineering projects, such as the Three Gorges Dam, Hangzhou Bay Bridge, the Shanghai Dongtang Eco-city project, may be selected. In addition to site visits and local cultural and transportation experiences, the course includes guest lectures, documentaries, readings, class discussions, and projects. This course is designed to provide basic understanding of Chinese culture and to relate it to historical and contemporary applications of technology. A program fee is charged for course costs that are not covered by tuition. Students are required to participate in all aspects of the course: scheduled site visits, presentations, lectures, readings, and cultural experiences. An interest in technical applications and not necessarily a technical background is required. However, engineering and technical principles are presented.",7
3238,3238,ENGR 120N,ENGR,120,N,Design Thinking and 3D Printing in Engineering and Healthcare,"Design Thinking and 3D Printing in Engineering and Healthcare (ENGR 120N) is an introductory general education interdomain course. The course will introduce basic concepts of design processes, engineering, and medicine. The course will assist students in realizing the power of creativity and imagination as it is applied to the use of emerging technologies to solve design dilemmas at the local, regional, national, and international levels. Students will be encouraged to secure an interdisciplinary and collaborative foundation through an exploration of topics including basic engineering, human anatomy and health, design (proportion, structure, integrity, design, scale, manufacturing, iteration), Design Thinking concepts (empathize, define, create, prototype, and test), problem-solving processes (brainstorming, free thought, think aloud, reverse engineering), 3D production processes, Bioprinting (use of biofilm to create human tissue and organs), Engineering, Medicine, and Microprinting (creating works of art from photos taken from microscope slides). Students will be encouraged to view projects from the User/Patient perspective. Promotion of integrative thinking will be encouraged throughout the coursework with the goal of increasing the incorporation of design, problem-solving, engineering and medicine in the disciplines of study for individual students. Integrative thinking will be assessed through student involvement in online discussions, case studies, class conversations encompassing ethical/legal/financial considerations to design issues, studio time, image production and manipulation, internet file sharing, materials/properties selection, production processes, and interdisciplinary individual and team-based projects encompassing creative expression and science. By the end of the course, students will be furnished with basic knowledge and strategies to evaluate the role of design in the world and to independently act on the information. This course will fulfill 3 credits of the General Education requirements addressing the interdomain fields of Art (GA) and Natural Sciences (GN). No prerequisites are required for the course. This course will serve as an introduction to the basic ideas of design, creativity, imagination and problem-solving to complement development in science disciplines across the university community.",3,3,General Education: Arts (GA)General Education:  Natural Sciences (GN)General Education -  Integrative: InterdomainGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key LiteraciesGenEd Learning Objective: Soc Resp and Ethic Reason,Standard,"Design Thinking and 3D Printing in Engineering and Healthcare Design Thinking and 3D Printing in Engineering and Healthcare (ENGR 120N) is an introductory general education interdomain course. The course will introduce basic concepts of design processes, engineering, and medicine. The course will assist students in realizing the power of creativity and imagination as it is applied to the use of emerging technologies to solve design dilemmas at the local, regional, national, and international levels. Students will be encouraged to secure an interdisciplinary and collaborative foundation through an exploration of topics including basic engineering, human anatomy and health, design (proportion, structure, integrity, design, scale, manufacturing, iteration), Design Thinking concepts (empathize, define, create, prototype, and test), problem-solving processes (brainstorming, free thought, think aloud, reverse engineering), 3D production processes, Bioprinting (use of biofilm to create human tissue and organs), Engineering, Medicine, and Microprinting (creating works of art from photos taken from microscope slides). Students will be encouraged to view projects from the User/Patient perspective. Promotion of integrative thinking will be encouraged throughout the coursework with the goal of increasing the incorporation of design, problem-solving, engineering and medicine in the disciplines of study for individual students. Integrative thinking will be assessed through student involvement in online discussions, case studies, class conversations encompassing ethical/legal/financial considerations to design issues, studio time, image production and manipulation, internet file sharing, materials/properties selection, production processes, and interdisciplinary individual and team-based projects encompassing creative expression and science. By the end of the course, students will be furnished with basic knowledge and strategies to evaluate the role of design in the world and to independently act on the information. This course will fulfill 3 credits of the General Education requirements addressing the interdomain fields of Art (GA) and Natural Sciences (GN). No prerequisites are required for the course. This course will serve as an introduction to the basic ideas of design, creativity, imagination and problem-solving to complement development in science disciplines across the university community.",3
3239,3239,ENGR 194,ENGR,194,,Research Project,Supervised student activities on research projects identified on an individual or small-group basis.,1,12,,Low,Research Project Supervised student activities on research projects identified on an individual or small-group basis.,8
3240,3240,ENGR 195,ENGR,195,,Engineering Internship,"Supervised off-campus, nongroup instruction including field experiences, practica, or internships. Written and oral critique of activity required.",1,18,Full-Time Equivalent Course,Low,"Engineering Internship Supervised off-campus, nongroup instruction including field experiences, practica, or internships. Written and oral critique of activity required.",8
3241,3241,ENGR 195A,ENGR,195,A,Engineering Internship,"A supervised work experience in a professionally relevant position in research, industry or government.  ENGR 195A Engineering Internship (1 per semester/maximum of 4) This course provides students the opportunity to apply fundamental skills and academic concepts in a professional laboratory, industry, or government agency setting within the United States. The final grade (SA/UN) will be based on the final report submitted by the student and a mid-term and final evaluation submitted by the employer. This course will be offered fall, spring, and summer semesters, and may be repeated.",1,1,Full-Time Equivalent Course,Low,"Engineering Internship A supervised work experience in a professionally relevant position in research, industry or government.  ENGR 195A Engineering Internship (1 per semester/maximum of 4) This course provides students the opportunity to apply fundamental skills and academic concepts in a professional laboratory, industry, or government agency setting within the United States. The final grade (SA/UN) will be based on the final report submitted by the student and a mid-term and final evaluation submitted by the employer. This course will be offered fall, spring, and summer semesters, and may be repeated.",3
3242,3242,ENGR 195I,ENGR,195,I,Engineering International Internship,"A supervised work experience in a professionally relevant position in research, industry, government or service sector.  ENGR 195I Engineering International Internship (1 per semester/maximum of 4) (IL) This course provides students the opportunity to apply fundamental skills and academic concepts in a professional laboratory, industry, or government agency setting outside of the United States. The final grade (SA/UN) will be based on the final report submitted by the student and a mid-term and final evaluation submitted by the employer. This course will be offered fall, spring, and summer semesters, and may be repeated.",5,1,International Cultures (IL),High,"Engineering International Internship A supervised work experience in a professionally relevant position in research, industry, government or service sector.  ENGR 195I Engineering International Internship (1 per semester/maximum of 4) (IL) This course provides students the opportunity to apply fundamental skills and academic concepts in a professional laboratory, industry, or government agency setting outside of the United States. The final grade (SA/UN) will be based on the final report submitted by the student and a mid-term and final evaluation submitted by the employer. This course will be offered fall, spring, and summer semesters, and may be repeated.",3
3243,3243,ENGR 196,ENGR,196,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,,Low,"Independent Studies Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",5
3244,3244,ENGR 197,ENGR,197,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",1,9,,Low,"Special Topics Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",6
3245,3245,ENGR 199,ENGR,199,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL),Low,Foreign Studies Courses offered in foreign countries by individual or group instruction.,2
3246,3246,ENGR 295,ENGR,295,,Engineering Co-Op Work Experience I,A supervised work experience where the student is employed in an engineering position in industry or government. (To be offered only for SA/UN grading.),1,3,"Prerequisite:  CHEM 110 , CMPSC122 , MATH 140 , MATH 141 , or PHYS 211",Low,Engineering Co-Op Work Experience I A supervised work experience where the student is employed in an engineering position in industry or government. (To be offered only for SA/UN grading.),1
3247,3247,ENGR 295A,ENGR,295,A,Engineering Cooperative Education,"ENGR 295A Engineering Cooperative Education (1) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting in the United States. This course is the first in a series that provides progressive semesters of career-related experience in the Cooperative Education Program (defined as two or more work semesters). The final grade (SA/UN) will be based on the end-of-semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",1,1,Full-Time Equivalent Course,Low,"Engineering Cooperative Education ENGR 295A Engineering Cooperative Education (1) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting in the United States. This course is the first in a series that provides progressive semesters of career-related experience in the Cooperative Education Program (defined as two or more work semesters). The final grade (SA/UN) will be based on the end-of-semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",3
3248,3248,ENGR 295I,ENGR,295,I,Engineering International Cooperative Education,"ENGR 295I Engineering International Cooperative Education (1) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting outside of the United States. This course is the first in a series that provides progressive semesters of career-related experience in the Cooperative Education Program (defined as two or more work semesters). The final grade (SA/UN) will be based on the end-of semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",1,1,International Cultures (IL)Full-Time Equivalent Course,Low,"Engineering International Cooperative Education ENGR 295I Engineering International Cooperative Education (1) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting outside of the United States. This course is the first in a series that provides progressive semesters of career-related experience in the Cooperative Education Program (defined as two or more work semesters). The final grade (SA/UN) will be based on the end-of semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",3
3249,3249,ENGR 296,ENGR,296,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,,Low,"Independent Studies Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",5
3250,3250,ENGR 297,ENGR,297,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",5,9,,High,"Special Topics Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",6
3251,3251,ENGR 299,ENGR,299,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL),Low,Foreign Studies Courses offered in foreign countries by individual or group instruction.,2
3252,3252,ENGR 310,ENGR,310,,Entrepreneurial Leadership,"This course develops leadership and entrepreneurial skills using collabora- tive, problem-based projects, with engineering and business students working in teams.  ENGR 310",3,3,,Standard,"Entrepreneurial Leadership This course develops leadership and entrepreneurial skills using collabora- tive, problem-based projects, with engineering and business students working in teams.  ENGR 310",3
3253,3253,ENGR 312,ENGR,312,,Sustainable Energy Entrepreneurship,"Three interrelated modules guide students through technical, global/business, and entrepreneurial aspects of sustainable energy.  ENGR 312 Sustainable Energy Entrepreneurship (3) ENGR 312 examines three integrated components of the sustainable energy business: technical adaptability , financial structure , and entrepreneurial. The technical component of the course provides an overview of the concept of energy and sustainable forms of energy, energy auditing process, as well as, the integration between supply, capacity, demand, and usage technology. Technical calculations of the power capacity of sustainable energy systems and the technical limitations, specifications, and feasibility studies of energy systems are also addressed. The business component of the course provides an overview of the market and finance aspect of sustainable energy systems. Students will study the feasibility of sustainable energy systems from a business perspective, as well as perform quantitative cost-benefit analyses that include depreciation of sustainable energy systems and return on investment. Students will also evaluate existing energy business plans. The entrepreneurial component focuses on the skills needed to perform a feasibility study of market opportunities related to sustainable energy, including entrepreneurial risk and sustainability ethics. Government incentives and the impact of policy issues on business decisions for sustainable energy systems will also be addressed. Students will learn how to take a global view in the assessment of market needs and they will gain in-depth knowledge of ways to obtain public and private financing for a prospective venture. A justification of sustainable energy applications, including environmental impact, will also be discussed. The capstone project will link all three components of the course by requiring students to create their own energy business plan for a residential or commercial site of their choice. The energy business plan will focus on the best technical and economic practices in the sustainable energy marketplace.",3,3,"Prerequisite:  EGEE 102 , E B F200",Standard,"Sustainable Energy Entrepreneurship Three interrelated modules guide students through technical, global/business, and entrepreneurial aspects of sustainable energy.  ENGR 312 Sustainable Energy Entrepreneurship (3) ENGR 312 examines three integrated components of the sustainable energy business: technical adaptability , financial structure , and entrepreneurial. The technical component of the course provides an overview of the concept of energy and sustainable forms of energy, energy auditing process, as well as, the integration between supply, capacity, demand, and usage technology. Technical calculations of the power capacity of sustainable energy systems and the technical limitations, specifications, and feasibility studies of energy systems are also addressed. The business component of the course provides an overview of the market and finance aspect of sustainable energy systems. Students will study the feasibility of sustainable energy systems from a business perspective, as well as perform quantitative cost-benefit analyses that include depreciation of sustainable energy systems and return on investment. Students will also evaluate existing energy business plans. The entrepreneurial component focuses on the skills needed to perform a feasibility study of market opportunities related to sustainable energy, including entrepreneurial risk and sustainability ethics. Government incentives and the impact of policy issues on business decisions for sustainable energy systems will also be addressed. Students will learn how to take a global view in the assessment of market needs and they will gain in-depth knowledge of ways to obtain public and private financing for a prospective venture. A justification of sustainable energy applications, including environmental impact, will also be discussed. The capstone project will link all three components of the course by requiring students to create their own energy business plan for a residential or commercial site of their choice. The energy business plan will focus on the best technical and economic practices in the sustainable energy marketplace.",3
3254,3254,ENGR 320,ENGR,320,,Materials Properties Measurement I,"Measurement and experimental procedures determination of the mechanical properties of engineered materials under deflection, compression, tension, fracture and fatigue conditions.  ENGR 320 Materials Properties Measurement I (3) Materials Laboratory I introduces students to the experimental procedures in determining mechanical properties (elastic modulus, shear modulus, Poisson's ratio, and fracture toughness) of engineered materials. Students gain hands-on experience in strain gage mounting and material properties measurement using strain gages. In conjunction with mathematical modeling software, finite element analysis is used to analyze engineering components subjected to mechanical and thermal loading (static and dynamic). Experiments and lectures are designed to demonstrate the theory and practice of mechanical measurement of material. Students utilize state-of-the-art equipment for experimentation in conjunction with advanced modeling software such as ANSYS to predict and evaluate material behavior under mechanical and thermal loading.",3,3,"Prerequisite:  E MCH213 ; ENGR 350 , E MCH407 , Prerequisiste or concurrent: E MCH461",Standard,"Materials Properties Measurement I Measurement and experimental procedures determination of the mechanical properties of engineered materials under deflection, compression, tension, fracture and fatigue conditions.  ENGR 320 Materials Properties Measurement I (3) Materials Laboratory I introduces students to the experimental procedures in determining mechanical properties (elastic modulus, shear modulus, Poisson's ratio, and fracture toughness) of engineered materials. Students gain hands-on experience in strain gage mounting and material properties measurement using strain gages. In conjunction with mathematical modeling software, finite element analysis is used to analyze engineering components subjected to mechanical and thermal loading (static and dynamic). Experiments and lectures are designed to demonstrate the theory and practice of mechanical measurement of material. Students utilize state-of-the-art equipment for experimentation in conjunction with advanced modeling software such as ANSYS to predict and evaluate material behavior under mechanical and thermal loading.",4
3255,3255,ENGR 320Y,ENGR,320,Y,Design for Global Society,"ENGR 320Y examines engineering design from a societal perspective by asking the question, ""What are the responsibilities and challenges of designers in considering the needs and welfare of current and future societies, and of specific segments and groups within those societies?"" Students investigate and analyze a diverse range of perspectives on technology and consider and apply those perspectives to actual design projects and case studies.  ENGR 320Y is designed as writing-intensive with the goal of having students practice a variety of writing assignments. Those assignments include short, informal assessments and longer research papers. Also, students will work in collaborative groups on an academically-themed project related to the design intent of this course. Student teams will write proposals for projects that explore the means of environmental improvement. Teams will deliver presentations in class and at related events such as campus Earth Day celebrations.  Beyond the writing-intensive focus, the course has three other stated goals. One is to enhance student understanding by adopting a writing-to-learn approach for course assignments. The second is to help students appreciate and understand the formal design process with a focus on the diversity of the end users of their designs. The third is to have students take responsibility for their design during the process by recognizing the impact of technology on society. Meeting these goals involves readings and critical analyses in the areas of ethics, history, economy, ecology, science, and engineering.",3,3,Prerequisite:  ENGL 202,Standard,"Design for Global Society ENGR 320Y examines engineering design from a societal perspective by asking the question, ""What are the responsibilities and challenges of designers in considering the needs and welfare of current and future societies, and of specific segments and groups within those societies?"" Students investigate and analyze a diverse range of perspectives on technology and consider and apply those perspectives to actual design projects and case studies.  ENGR 320Y is designed as writing-intensive with the goal of having students practice a variety of writing assignments. Those assignments include short, informal assessments and longer research papers. Also, students will work in collaborative groups on an academically-themed project related to the design intent of this course. Student teams will write proposals for projects that explore the means of environmental improvement. Teams will deliver presentations in class and at related events such as campus Earth Day celebrations.  Beyond the writing-intensive focus, the course has three other stated goals. One is to enhance student understanding by adopting a writing-to-learn approach for course assignments. The second is to help students appreciate and understand the formal design process with a focus on the diversity of the end users of their designs. The third is to have students take responsibility for their design during the process by recognizing the impact of technology on society. Meeting these goals involves readings and critical analyses in the areas of ethics, history, economy, ecology, science, and engineering.",3
3256,3256,ENGR 350,ENGR,350,,Computational Modeling Methods,"Computational Modeling Methods is intended to introduce students to strategies in mathematical modeling of physical phenomena using modern computer simulation software. The course provides theoretical understanding and hands-on experience of the modeling techniques used in current engineering practice and allows students to apply these skills to engineering computational problems. Modeling of engineering processes requires users to have a working knowledge of computer simulation software and modeling techniques such as mesh construction and analysis. This course teaches the principles of mathematical modeling of various physical phenomena and allows students to learn the basic strategies of mathematical modeling and the proper use of computational tools for the analysis of topics involving structural, thermal, and materials engineering.",3,3,"Prerequisites: EMCH 213, and ( ME 201; ME 300; EME 301 ) and ( CMPSC 121; CMPSC 131; CMPSC 200; CMPSC 201; )",Standard,"Computational Modeling Methods Computational Modeling Methods is intended to introduce students to strategies in mathematical modeling of physical phenomena using modern computer simulation software. The course provides theoretical understanding and hands-on experience of the modeling techniques used in current engineering practice and allows students to apply these skills to engineering computational problems. Modeling of engineering processes requires users to have a working knowledge of computer simulation software and modeling techniques such as mesh construction and analysis. This course teaches the principles of mathematical modeling of various physical phenomena and allows students to learn the basic strategies of mathematical modeling and the proper use of computational tools for the analysis of topics involving structural, thermal, and materials engineering.",4
3257,3257,ENGR 394,ENGR,394,,Research Project,Supervised student activities on research projects identified on an individual or small-group basis.,1,12,,Low,Research Project Supervised student activities on research projects identified on an individual or small-group basis.,8
3258,3258,ENGR 395,ENGR,395,,Engineering Co-Op Work Experience II,A supervised work experience where the student is employed in an engineering position in industry or government. (To be offered only for SA/UN grading.),1,3,Prerequisite:  ENGR 295,Low,Engineering Co-Op Work Experience II A supervised work experience where the student is employed in an engineering position in industry or government. (To be offered only for SA/UN grading.),1
3259,3259,ENGR 395A,ENGR,395,A,Engineering Cooperative Education,"ENGR 395A Engineering Cooperative Education (1-2) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting in the United States. This course is the second in a series that provides progressive semesters of career-related experience in the Cooperative Education Program. The final grade (SA/UN) will be based on the end-of-semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",1,2,Prerequisite:  ENGR 295A or ENGR 295I,Low,"Engineering Cooperative Education ENGR 395A Engineering Cooperative Education (1-2) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting in the United States. This course is the second in a series that provides progressive semesters of career-related experience in the Cooperative Education Program. The final grade (SA/UN) will be based on the end-of-semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",3
3260,3260,ENGR 395I,ENGR,395,I,Engineering International Cooperative Education,"ENGR 395I Engineering International Cooperative Education (1-2) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting outside of the United States. This course is the second in a series that provides progressive semesters of career-related experience in the Cooperative Education Program. The final grade (SA/UN) will be based on the end-of-semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",1,2,Prerequisite:  ENGR 295A or ENGR 295I,Low,"Engineering International Cooperative Education ENGR 395I Engineering International Cooperative Education (1-2) This course provides students the opportunity to apply the fundamentals and academic concepts learned in their major classes in a professional laboratory, industry, or government agency setting outside of the United States. This course is the second in a series that provides progressive semesters of career-related experience in the Cooperative Education Program. The final grade (SA/UN) will be based on the end-of-semester report submitted by the student and mid-semester and end-of-semester evaluations submitted by the employer and student. This course will be offered fall, spring, and summer semesters.",3
3261,3261,ENGR 396,ENGR,396,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,,Low,"Independent Studies Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",5
3262,3262,ENGR 397,ENGR,397,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",1,9,,Low,"Special Topics Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",6
3263,3263,ENGR 397F,ENGR,397,F,Special Topics - InterDomain,Formal course given on a topical or special interest subject offered infrequently; several different topics may be taught in one year or semester. This Special Topics is an Inter-Domain GS/GN GenEd course.,3,3,General Education:  Natural Sciences (GN)General Education: Social and Behavioral Scien (GS)General Education -  Integrative: Interdomain,Standard,Special Topics - InterDomain Formal course given on a topical or special interest subject offered infrequently; several different topics may be taught in one year or semester. This Special Topics is an Inter-Domain GS/GN GenEd course.,6
3264,3264,ENGR 399,ENGR,399,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL),Low,Foreign Studies Courses offered in foreign countries by individual or group instruction.,2
3265,3265,ENGR 405,ENGR,405,,Project Management for Professionals,"Covers the essential concepts and skills needed to make effective contributions on projects, on time and within budget.  WF ED (ENGR) 405 Project Management for Professionals (3) Professionals in the workplace carry out many different projects every day ranging from somewhat small tasks, e.g.,planning events and designing courses, to big projects, e.g., launching an enterprise wide system. Project Management for Professionals is a practical ""hands-on"" course designed for mid-career adult students and covers the essential concepts and skills needed to make effective contributions and have an impact on the successful accomplishment of projects on time and within budget. Project management principles and techniques are presented with an emphasis on how they are applied to real world workforce development projects. Topics include the project management life cycle and process; techniques for planning, scheduling, budgeting, and controlling project performance; project manager responsibilities and skills; project team development and effectiveness; project communication; and organization structures.",3,3,"Prerequisite:  two years of work experience, or fourth-semester standing, or   prior approval by instructor",Standard,"Project Management for Professionals Covers the essential concepts and skills needed to make effective contributions on projects, on time and within budget.  WF ED (ENGR) 405 Project Management for Professionals (3) Professionals in the workplace carry out many different projects every day ranging from somewhat small tasks, e.g.,planning events and designing courses, to big projects, e.g., launching an enterprise wide system. Project Management for Professionals is a practical ""hands-on"" course designed for mid-career adult students and covers the essential concepts and skills needed to make effective contributions and have an impact on the successful accomplishment of projects on time and within budget. Project management principles and techniques are presented with an emphasis on how they are applied to real world workforce development projects. Topics include the project management life cycle and process; techniques for planning, scheduling, budgeting, and controlling project performance; project manager responsibilities and skills; project team development and effectiveness; project communication; and organization structures.",3
3266,3266,ENGR 407,ENGR,407,,Technology-Based Entrepreneurship,Technology innovation coupled with business planning and development.,3,3,Prerequisite:  ECON 102 or ECON 104,Standard,Technology-Based Entrepreneurship Technology innovation coupled with business planning and development.,1
